Airline,Percent Leisure Travelers, Average Business Fare , Average Leisure Fare ,Utilization,How advertised,Gate fees charged to each passenger,Gallons of Fuel Used,Origin City,Destination City,Domestic Flight
SC Airlines,75.8%, $782.85 , $323.78 ,74.1%,None,$15.28,7897,LAX,ATL,TRUE
Columbia,96.1%, $924.89 , $315.34 ,74.1%,Billboard,$0.00,6009,BWI,SFO,TRUE
SC Airlines,67.6%," $1,114.34 ", $358.59 ,89.4%,Billboard,$23.48,7445,LAS,PVG,TRUE
Columbia,94.5%, $769.73 , $363.41 ,77.6%,None,$0.00,7741,SEA,SAN,TRUE
SC Airlines,51.9%, $840.94 , $451.70 ,70.6%,Billboard,$18.96,6714,TPA,DTW,TRUE
SC Airlines,69.3%, $623.81 , $303.32 ,58.8%,Billboard,$18.01,7797,MIA,AUS,TRUE
Columbia,81.1%, $731.61 , $329.80 ,71.6%,None,$0.00,6557,DEN,IAH,TRUE
SC Airlines,56.4%, $670.78 , $419.09 ,68.0%,Billboard,$16.58,6065,DEN,ATL,TRUE
SC Airlines,49.7%, $945.32 , $374.34 ,70.6%,Billboard,$17.64,6138,DTW,ATL,TRUE
SC Airlines,62.8%, $587.85 , $251.57 ,67.5%,None,$20.62,7266,MIA,ATL,TRUE
SC Airlines,69.2%, $856.92 , $394.75 ,67.4%,Billboard,$16.52,7424,MCO,FLL,TRUE
SC Airlines,58.3%, $823.26 , $356.34 ,72.4%,Billboard,$16.66,7238,ATL,ATL,TRUE
SC Airlines,44.1%, $756.62 , $347.13 ,60.8%,None,$20.08,7667,ORD,ATL,TRUE
Columbia,97.7%, $929.66 , $221.98 ,81.0%,Billboard,$0.00,7233,ATL,MCO,TRUE
Columbia,89.7%," $1,035.88 ", $301.53 ,86.9%,Billboard,$0.00,7632,JFK,FLL,TRUE
Columbia,88.6%," $1,274.68 ", $386.87 ,85.7%,Billboard,$0.00,6884,MCO,LGA,TRUE
Columbia,84.9%, $573.79 , $223.59 ,81.8%,None,$0.00,6532,IAD,MIA,TRUE
Columbia,94.9%, $989.36 , $223.60 ,75.9%,None,$0.00,6770,DTW,MDW,TRUE
SC Airlines,66.1%, $716.16 , $475.37 ,77.6%,Billboard,$17.38,7987,MSP,LAX,TRUE
SC Airlines,69.0%," $1,315.01 ", $299.77 ,74.1%,Billboard,$23.68,6744,LAS,AMS,TRUE
Columbia,86.4%, $551.11 , $298.36 ,66.3%,None,$0.00,6004,SLC,ORD,TRUE
SC Airlines,64.5%," $1,322.89 ", $373.39 ,80.4%,Billboard,$19.68,6236,FLL,FCO,TRUE
Columbia,89.0%, $776.83 , $227.09 ,70.5%,None,$0.00,7253,SLC,ORD,TRUE
SC Airlines,63.2%," $1,326.08 ", $338.29 ,62.0%,Billboard,$21.25,15534,IAH,AUS,FALSE
SC Airlines,72.1%, $718.54 , $432.25 ,70.2%,Billboard,$17.92,7911,MSP,DEN,TRUE
Columbia,100.0%, $653.39 , $241.36 ,76.9%,None,$0.00,7837,PHL,LAS,TRUE
Columbia,84.5%," $1,003.23 ", $275.23 ,82.5%,Billboard,$0.00,7547,BOS,FLL,TRUE
Columbia,68.6%," $1,286.29 ", $311.64 ,87.0%,Billboard,$0.00,6079,DTW,SFO,TRUE
SC Airlines,66.0%, $777.76 , $590.15 ,91.2%,Billboard,$16.93,6205,MIA,SIN,TRUE
Columbia,89.6%, $633.04 , $223.93 ,74.2%,None,$0.00,6277,TPA,MIA,TRUE
SC Airlines,62.3%," $2,016.50 ", $448.84 ,60.5%,Television,$17.79,14858,IAH,PHL,FALSE
SC Airlines,66.8%," $1,118.31 ", $331.71 ,72.5%,Billboard,$17.88,7709,SFO,LAS,TRUE
SC Airlines,50.6%," $1,630.32 ", $348.85 ,65.1%,Billboard,$15.26,13779,ATL,ATL,FALSE
Columbia,85.8%, $625.86 , $212.81 ,70.3%,None,$0.00,6326,PHL,DFW,TRUE
Columbia,83.8%, $527.37 , $243.68 ,71.7%,None,$0.00,6183,MIA,MCO,TRUE
Columbia,68.6%," $1,200.16 ", $371.82 ,86.3%,Billboard,$0.00,6081,LAS,LGA,TRUE
SC Airlines,59.3%, $539.13 , $269.08 ,60.8%,None,$18.09,7876,LAS,IAH,TRUE
Columbia,63.5%," $1,005.36 ", $341.14 ,81.3%,None,$0.00,6032,ATL,MCO,TRUE
Columbia,86.0%, $856.59 , $197.37 ,69.4%,None,$0.00,6178,FLL,ORD,TRUE
SC Airlines,66.9%, $889.73 , $295.18 ,82.5%,Billboard,$16.77,6035,ATL,JFK,TRUE
SC Airlines,72.2%," $1,118.41 ", $341.05 ,87.7%,Billboard,$23.28,7505,FCO,DTW,TRUE
SC Airlines,66.2%," $1,128.73 ", $396.57 ,71.0%,Billboard,$24.90,15172,MSP,MSP,FALSE
Columbia,75.0%," $1,109.22 ", $337.85 ,77.9%,Billboard,$0.00,7789,ORD,DEN,TRUE
Columbia,84.7%," $1,408.36 ", $316.73 ,95.7%,Billboard,$0.00,7881,EWR,SFO,TRUE
SC Airlines,48.7%, $859.18 , $442.11 ,68.1%,Billboard,$22.45,6493,DEN,MSP,TRUE
SC Airlines,61.8%, $615.29 , $295.05 ,68.5%,None,$24.55,7435,LGA,PHL,TRUE
SC Airlines,62.7%," $1,751.85 ", $445.42 ,100.0%,Television,$19.12,6283,JFK,DXB,TRUE
SC Airlines,73.6%, $797.40 , $415.45 ,73.5%,Billboard,$18.30,6814,ATL,LAX,TRUE
SC Airlines,49.2%," $1,026.15 ", $349.57 ,70.3%,Billboard,$24.55,7920,ATL,DFW,TRUE
SC Airlines,69.9%," $1,654.07 ", $514.52 ,96.5%,Television,$15.48,7410,DXB,DTW,TRUE
SC Airlines,59.7%," $2,560.39 ", $691.71 ,71.3%,Television,$22.11,14922,DTW,DTW,FALSE
SC Airlines,61.6%," $1,506.31 ", $644.53 ,100.0%,Television,$22.44,6596,SIN,JFK,TRUE
SC Airlines,72.1%," $1,398.89 ", $532.35 ,90.9%,Television,$15.50,6565,AUS,SIN,TRUE
SC Airlines,55.0%, $993.86 , $355.09 ,81.5%,Billboard,$16.76,6840,JFK,MSP,TRUE
Columbia,90.9%, $753.46 , $408.75 ,82.3%,Billboard,$0.00,6585,LGA,MIA,TRUE
Columbia,100.0%, $593.68 , $329.11 ,84.4%,Billboard,$0.00,6923,ATL,SFO,TRUE
SC Airlines,70.9%," $2,004.75 ", $653.52 ,70.3%,Television,$17.67,12805,IAH,SFO,FALSE
SC Airlines,68.9%, $491.62 , $261.63 ,60.4%,None,$15.32,6370,PHL,DTW,TRUE
SC Airlines,62.2%," $2,672.08 ", $403.84 ,74.4%,Television,$15.52,14726,MSP,MSP,FALSE
SC Airlines,92.5%," $1,098.19 ", $425.88 ,82.1%,Billboard,$19.84,7596,SAN,JFK,TRUE
Columbia,85.2%, $552.34 , $314.30 ,84.8%,None,$0.00,6970,SLC,JFK,TRUE
Columbia,74.6%," $1,158.86 ", $288.41 ,80.9%,Billboard,$0.00,7957,DEN,ATL,TRUE
SC Airlines,69.6%," $1,067.71 ", $426.62 ,100.0%,Billboard,$23.59,6012,LHR,PEK,TRUE
Columbia,90.8%," $1,102.72 ", $278.04 ,88.0%,Billboard,$0.00,7177,LAX,LAS,TRUE
Columbia,78.1%, $986.69 , $297.87 ,66.5%,None,$0.00,7972,AUS,IAH,TRUE
SC Airlines,68.0%, $750.37 , $204.25 ,54.3%,None,$23.83,7584,DFW,ORD,TRUE
Columbia,96.8%, $872.35 , $272.21 ,90.6%,Billboard,$0.00,6421,LAX,LAX,TRUE
Columbia,75.0%, $522.64 , $255.29 ,69.6%,None,$0.00,7523,MCO,DFW,TRUE
SC Airlines,72.8%," $1,154.55 ", $385.21 ,74.4%,Billboard,$20.06,6853,DTW,ATL,TRUE
Columbia,91.0%, $794.96 , $281.93 ,82.2%,None,$0.00,6892,IAH,SFO,TRUE
SC Airlines,76.7%, $740.62 , $251.20 ,58.6%,None,$21.16,6119,IAH,MIA,TRUE
SC Airlines,43.7%," $1,524.24 ", $457.59 ,70.7%,Television,$17.72,15398,ATL,MSP,FALSE
Columbia,94.0%, $534.82 , $392.93 ,83.8%,Billboard,$0.00,6873,MSP,DCA,TRUE
Columbia,88.7%, $726.58 , $366.12 ,89.9%,Billboard,$0.00,6982,IAD,LAX,TRUE
Columbia,88.9%, $817.32 , $229.29 ,66.9%,None,$0.00,6710,ORD,MIA,TRUE
Columbia,81.7%, $621.38 , $242.70 ,75.6%,None,$0.00,7073,DEN,BNA,TRUE
SC Airlines,67.2%," $1,079.13 ", $247.38 ,66.3%,Billboard,$23.90,6326,DFW,MCO,TRUE
Columbia,100.0%, $758.60 , $319.36 ,71.0%,None,$0.00,7348,FLL,BNA,TRUE
Columbia,85.4%, $864.34 , $388.42 ,84.0%,Billboard,$0.00,7819,SFO,MSP,TRUE
SC Airlines,70.2%," $1,276.41 ", $420.05 ,65.8%,Billboard,$24.86,13554,LAS,MIA,FALSE
Columbia,78.0%, $841.92 , $292.68 ,72.0%,None,$0.00,7774,PHL,FLL,TRUE
SC Airlines,51.8%," $1,821.97 ", $374.35 ,65.1%,Billboard,$19.67,14663,PHL,ATL,FALSE
SC Airlines,55.0%, $585.83 , $337.98 ,56.3%,None,$17.94,6437,PHL,AUS,TRUE
Columbia,70.5%, $966.59 , $340.10 ,78.2%,Billboard,$0.00,6847,MDW,SFO,TRUE
SC Airlines,80.7%," $1,388.96 ", $496.44 ,66.0%,Television,$24.97,14821,DTW,ATL,FALSE
SC Airlines,55.3%," $1,823.03 ", $386.68 ,64.9%,Television,$15.96,12434,DTW,DFW,FALSE
SC Airlines,75.6%, $735.16 , $278.87 ,76.7%,Billboard,$23.21,7751,DTW,LAX,TRUE
Columbia,100.0%, $624.17 , $343.65 ,74.9%,None,$0.00,6660,SAN,LAS,TRUE
Columbia,75.5%, $512.35 , $316.88 ,74.4%,None,$0.00,6339,FLL,TPA,TRUE
SC Airlines,57.6%, $719.99 , $318.59 ,63.8%,None,$15.59,6160,DFW,MCO,TRUE
SC Airlines,69.0%, $677.54 , $396.18 ,66.8%,Billboard,$22.79,6622,DTW,PHL,TRUE
SC Airlines,53.4%," $1,001.92 ", $633.74 ,65.7%,Television,$19.44,13842,DFW,DTW,FALSE
SC Airlines,54.9%, $647.92 , $370.12 ,57.8%,None,$21.56,7784,SAN,BWI,TRUE
SC Airlines,70.4%, $778.40 , $279.39 ,60.8%,None,$22.78,7099,SLC,SLC,TRUE
Columbia,84.8%, $977.89 , $424.03 ,88.7%,Billboard,$0.00,7576,SFO,IAD,TRUE
Columbia,70.8%, $817.47 , $345.13 ,80.0%,None,$0.00,6789,SAN,ATL,TRUE
Columbia,92.2%, $581.62 , $213.27 ,70.1%,None,$0.00,7578,BWI,ATL,TRUE
Columbia,91.2%, $650.23 , $247.69 ,76.5%,None,$0.00,7769,IAH,LAS,TRUE
Columbia,85.1%, $559.63 , $257.47 ,83.9%,None,$0.00,7557,ORD,JFK,TRUE
SC Airlines,75.2%, $641.16 , $479.89 ,83.7%,Billboard,$17.11,6423,SFO,IAD,TRUE
SC Airlines,88.1%, $777.69 , $354.09 ,62.6%,Billboard,$18.20,7906,ATL,MIA,TRUE
SC Airlines,70.7%," $1,002.03 ", $443.90 ,82.6%,Billboard,$20.73,6743,LAX,IAD,TRUE
Columbia,85.2%, $676.65 , $318.18 ,86.8%,None,$0.00,7554,TPA,DCA,TRUE
SC Airlines,56.8%, $461.30 , $254.15 ,60.3%,None,$22.67,7336,DFW,IAH,TRUE
SC Airlines,78.0%," $1,151.58 ", $632.79 ,100.0%,Television,$24.98,6372,CDG,SIN,TRUE
SC Airlines,81.3%," $1,320.06 ", $424.96 ,73.5%,Billboard,$20.79,6320,SEA,MSP,TRUE
Columbia,95.5%, $764.13 , $222.57 ,77.5%,None,$0.00,7506,SEA,AUS,TRUE
SC Airlines,71.6%," $1,027.25 ", $563.99 ,90.3%,Billboard,$20.92,6053,LAS,MUC,TRUE
SC Airlines,65.7%, $513.71 , $314.64 ,67.6%,None,$16.79,6219,LAS,LAS,TRUE
Columbia,82.3%," $1,305.18 ", $256.91 ,90.7%,Billboard,$0.00,6713,DCA,LGA,TRUE
Columbia,87.4%, $640.51 , $251.72 ,90.2%,None,$0.00,7833,BOS,MCO,TRUE
Columbia,85.5%," $1,307.19 ", $400.83 ,89.2%,Billboard,$0.00,6052,BOS,ATL,TRUE
SC Airlines,71.5%, $870.94 , $412.58 ,70.1%,Billboard,$22.50,6145,ATL,DTW,TRUE
SC Airlines,84.4%, $947.34 , $345.73 ,71.4%,Billboard,$15.94,7638,DFW,LAX,TRUE
SC Airlines,46.2%, $550.11 , $467.37 ,74.8%,Billboard,$21.32,6374,ATL,MSP,TRUE
SC Airlines,72.1%," $1,310.32 ", $576.43 ,80.5%,Billboard,$17.85,14462,LAS,JFK,FALSE
Columbia,78.9%," $1,065.65 ", $304.97 ,80.8%,None,$0.00,6701,PHL,LAX,TRUE
SC Airlines,68.2%," $1,180.32 ", $430.25 ,75.2%,Billboard,$15.97,6512,DTW,DTW,TRUE
SC Airlines,68.3%, $766.48 , $330.38 ,81.3%,None,$19.71,7250,DTW,LHR,TRUE
Columbia,71.2%, $866.85 , $242.10 ,84.4%,Billboard,$0.00,7875,TPA,LGA,TRUE
Columbia,71.2%, $982.63 , $282.03 ,68.8%,None,$0.00,6892,IAH,IAH,TRUE
Columbia,99.3%," $1,022.81 ", $358.42 ,85.7%,Billboard,$0.00,6932,JFK,FLL,TRUE
SC Airlines,66.6%, $760.91 , $378.62 ,65.6%,Billboard,$15.01,6682,SLC,MSP,TRUE
Columbia,77.4%," $1,080.97 ", $307.97 ,83.1%,Billboard,$0.00,6598,MCO,SEA,TRUE
SC Airlines,58.4%," $1,165.95 ", $380.52 ,76.8%,Billboard,$15.45,6352,DTW,SFO,TRUE
Columbia,100.0%, $602.16 , $373.63 ,74.9%,None,$0.00,6748,ORD,LAS,TRUE
SC Airlines,62.5%," $1,137.53 ", $450.18 ,72.3%,Billboard,$22.06,6612,DTW,DTW,TRUE
Columbia,80.7%, $808.47 , $358.40 ,80.4%,None,$0.00,6134,SFO,BNA,TRUE
Columbia,91.5%, $766.17 , $307.82 ,71.3%,None,$0.00,6964,SEA,BWI,TRUE
SC Airlines,59.1%, $731.34 , $289.21 ,78.5%,None,$16.52,6671,DEN,JFK,TRUE
Columbia,90.0%, $662.19 , $418.35 ,85.6%,Billboard,$0.00,7990,DFW,JFK,TRUE
SC Airlines,53.8%," $1,099.66 ", $412.67 ,69.7%,Billboard,$23.64,6606,MSP,LAS,TRUE
Columbia,67.2%, $588.42 , $237.70 ,78.2%,None,$0.00,7264,IAH,SFO,TRUE
Columbia,87.6%," $1,264.78 ", $451.02 ,100.0%,Billboard,$0.00,7058,JFK,BOS,TRUE
SC Airlines,61.1%," $1,324.02 ", $667.40 ,72.1%,Television,$23.14,13190,MSP,MSP,FALSE
SC Airlines,62.7%, $833.62 , $307.98 ,67.9%,Billboard,$17.71,6815,MSP,MSP,TRUE
SC Airlines,66.4%," $2,127.57 ", $549.10 ,86.9%,Television,$22.56,12114,BKK,MIA,FALSE
SC Airlines,67.3%, $928.68 , $375.67 ,66.2%,Billboard,$16.21,6137,ATL,SLC,TRUE
Columbia,95.8%, $627.49 , $304.72 ,87.2%,None,$0.00,6531,JFK,MIA,TRUE
SC Airlines,56.0%, $964.74 , $386.45 ,61.3%,Billboard,$19.41,6852,CLT,DFW,TRUE
SC Airlines,78.1%, $939.03 , $375.73 ,69.0%,Billboard,$17.43,6791,LAX,MIA,TRUE
SC Airlines,66.6%, $721.38 , $407.72 ,70.5%,Billboard,$19.10,6280,DFW,DTW,TRUE
SC Airlines,68.1%," $1,184.79 ", $344.55 ,76.8%,Billboard,$21.92,6604,ATL,DCA,TRUE
Columbia,99.4%," $1,245.64 ", $362.77 ,87.9%,Billboard,$0.00,7803,MCO,BOS,TRUE
SC Airlines,55.8%," $1,153.00 ", $382.37 ,73.5%,Billboard,$24.30,6915,MSP,DTW,TRUE
SC Airlines,76.1%, $720.25 , $518.55 ,83.7%,Billboard,$24.01,6787,LAX,LAX,TRUE
SC Airlines,62.3%," $1,389.06 ", $533.91 ,78.2%,Billboard,$16.09,14769,DCA,ATL,FALSE
Columbia,84.1%," $1,260.16 ", $337.39 ,84.4%,Billboard,$0.00,6614,MCO,DEN,TRUE
Columbia,84.2%, $611.20 , $325.63 ,82.5%,None,$0.00,6261,DTW,MSP,TRUE
SC Airlines,69.7%," $2,622.64 ", $502.20 ,93.0%,Television,$21.64,15536,MSP,BKK,FALSE
Columbia,78.2%, $554.77 , $336.27 ,79.6%,Billboard,$0.00,7328,BNA,LGA,TRUE
Columbia,96.4%," $1,023.14 ", $252.28 ,83.7%,None,$0.00,6370,LAX,FLL,TRUE
SC Airlines,58.9%," $1,320.59 ", $447.33 ,87.1%,Billboard,$21.46,6791,CGK,BNA,TRUE
SC Airlines,74.4%, $566.23 , $276.92 ,71.0%,None,$19.90,6043,MCO,LAX,TRUE
SC Airlines,55.1%," $1,128.20 ", $268.88 ,72.0%,Billboard,$15.79,7444,MSP,MSP,TRUE
SC Airlines,70.7%," $1,024.74 ", $240.60 ,62.5%,Billboard,$19.76,7916,MSP,MIA,TRUE
Columbia,99.7%, $886.44 , $317.18 ,86.4%,None,$0.00,6681,LAX,MSP,TRUE
SC Airlines,54.5%, $619.56 , $331.06 ,71.6%,None,$22.58,6964,IAH,BOS,TRUE
SC Airlines,69.5%, $504.16 , $274.41 ,69.8%,None,$15.62,7920,ATL,LAS,TRUE
SC Airlines,77.3%," $1,639.62 ", $433.65 ,73.0%,Billboard,$15.87,12219,ATL,LGA,FALSE
SC Airlines,54.3%," $1,104.93 ", $386.76 ,82.1%,Billboard,$24.27,7678,JFK,MSP,TRUE
SC Airlines,39.8%, $707.76 , $344.60 ,67.2%,Billboard,$16.00,7650,MSP,MSP,TRUE
Columbia,88.1%, $409.20 , $195.52 ,65.1%,None,$0.00,7446,FLL,BWI,TRUE
Columbia,88.2%, $769.30 , $247.98 ,64.5%,None,$0.00,7171,BWI,SLC,TRUE
SC Airlines,49.6%, $565.97 , $309.38 ,70.0%,None,$23.67,6031,LGA,ATL,TRUE
Columbia,83.9%, $542.97 , $341.98 ,78.2%,None,$0.00,7472,SEA,SAN,TRUE
SC Airlines,58.3%," $1,006.36 ", $246.27 ,67.0%,Billboard,$21.55,6763,MCO,MCO,TRUE
SC Airlines,65.5%," $1,023.91 ", $273.22 ,67.6%,Billboard,$17.99,7412,LGA,FLL,TRUE
SC Airlines,65.1%," $1,108.44 ", $433.67 ,67.6%,Billboard,$18.39,7873,BNA,IAH,TRUE
Columbia,87.9%," $1,177.05 ", $343.42 ,83.9%,Billboard,$0.00,7562,DCA,DEN,TRUE
SC Airlines,69.5%," $1,324.22 ", $489.27 ,78.6%,Television,$20.00,7877,JFK,ORD,TRUE
SC Airlines,53.0%, $866.47 , $383.76 ,63.4%,Billboard,$15.76,7469,IAH,ATL,TRUE
Columbia,94.9%, $534.30 , $317.77 ,71.7%,None,$0.00,6558,MIA,DFW,TRUE
Columbia,90.6%, $907.32 , $338.97 ,73.9%,Billboard,$0.00,7221,ORD,LGA,TRUE
Columbia,83.6%," $1,215.06 ", $255.18 ,84.8%,Billboard,$0.00,7288,SFO,MCO,TRUE
Columbia,76.7%, $583.17 , $290.88 ,75.3%,None,$0.00,6587,MSP,DFW,TRUE
Columbia,76.9%, $802.63 , $417.49 ,87.0%,Billboard,$0.00,6586,SFO,DTW,TRUE
SC Airlines,83.7%, $665.43 , $434.14 ,80.2%,Billboard,$21.56,6370,IAD,MCO,TRUE
Columbia,83.6%, $654.98 , $257.86 ,66.2%,None,$0.00,7135,BNA,BWI,TRUE
Columbia,85.7%," $1,010.40 ", $409.82 ,91.6%,Billboard,$0.00,6436,LGA,LAX,TRUE
SC Airlines,70.2%, $762.43 , $319.88 ,73.1%,None,$21.49,6901,MSP,LAX,TRUE
Columbia,94.8%, $876.13 , $281.34 ,74.7%,Billboard,$0.00,7097,MIA,SEA,TRUE
Columbia,76.3%," $1,160.61 ", $342.95 ,78.9%,Billboard,$0.00,7646,LAS,DEN,TRUE
Columbia,84.2%, $880.16 , $319.53 ,70.1%,Billboard,$0.00,6000,IAH,DFW,TRUE
Columbia,96.2%," $1,077.29 ", $309.88 ,89.4%,None,$0.00,7966,SFO,LAX,TRUE
SC Airlines,61.4%," $1,240.11 ", $419.18 ,90.2%,Billboard,$24.45,7428,LGA,PEK,TRUE
SC Airlines,53.1%," $1,064.80 ", $306.71 ,71.2%,Billboard,$15.47,6172,ATL,MCO,TRUE
Columbia,75.1%, $792.26 , $290.12 ,76.5%,None,$0.00,6798,MCO,SLC,TRUE
Columbia,95.8%," $1,090.75 ", $243.82 ,75.3%,Billboard,$0.00,7859,ATL,MIA,TRUE
SC Airlines,60.5%," $1,446.76 ", $780.38 ,95.7%,Television,$15.74,15845,HND,MSP,FALSE
SC Airlines,55.5%," $1,470.79 ", $520.46 ,91.5%,Television,$15.12,6885,LAX,BKK,TRUE
Columbia,89.8%, $668.51 , $286.91 ,91.1%,None,$0.00,7663,JFK,MCO,TRUE
Columbia,97.7%, $810.88 , $350.28 ,87.0%,Billboard,$0.00,6006,TPA,LGA,TRUE
Columbia,95.5%, $852.94 , $219.46 ,73.5%,None,$0.00,7613,ORD,MSP,TRUE
SC Airlines,61.1%, $924.38 , $331.96 ,74.6%,None,$24.55,7879,MIA,JFK,TRUE
Columbia,86.1%, $726.27 , $288.48 ,78.7%,None,$0.00,7769,IAH,MCO,TRUE
SC Airlines,78.2%, $967.12 , $432.79 ,78.2%,Billboard,$23.71,6867,ATL,BOS,TRUE
SC Airlines,79.7%," $1,162.31 ", $413.97 ,75.6%,Billboard,$20.42,7239,MSP,SFO,TRUE
SC Airlines,73.3%, $606.89 , $362.49 ,73.3%,None,$22.22,6646,ATL,DTW,TRUE
SC Airlines,60.3%," $1,906.33 ", $529.63 ,57.9%,Television,$18.37,15502,SLC,ORD,FALSE
SC Airlines,77.0%," $1,679.18 ", $880.29 ,91.3%,Television,$24.75,12308,MSP,PEK,FALSE
SC Airlines,80.7%," $1,173.54 ", $543.48 ,84.3%,Television,$23.51,7893,MUC,SEA,TRUE
SC Airlines,67.6%," $1,004.70 ", $292.63 ,76.0%,None,$23.04,6471,LAS,DTW,TRUE
Columbia,78.3%, $810.96 , $248.07 ,83.8%,Billboard,$0.00,6315,IAH,BOS,TRUE
SC Airlines,70.9%," $1,102.87 ", $385.24 ,81.1%,Billboard,$19.98,6239,EWR,MSP,TRUE
SC Airlines,46.8%, $726.90 , $353.78 ,70.4%,Billboard,$22.20,7450,IAD,IAH,TRUE
SC Airlines,79.0%," $1,106.59 ", $250.62 ,63.8%,None,$18.21,7746,SAN,DTW,TRUE
SC Airlines,60.5%, $974.33 , $214.01 ,55.5%,None,$15.71,6850,BWI,MIA,TRUE
SC Airlines,67.8%," $1,227.45 ", $325.59 ,69.3%,Billboard,$17.49,7942,IAH,LAX,TRUE
SC Airlines,56.5%," $1,033.16 ", $426.60 ,72.1%,Billboard,$24.63,6660,DTW,ATL,TRUE
SC Airlines,64.7%," $1,184.54 ", $266.30 ,75.8%,None,$21.38,7062,JFK,ATL,TRUE
SC Airlines,58.5%, $690.62 , $327.89 ,64.2%,None,$22.33,7159,FLL,MSP,TRUE
SC Airlines,53.6%, $927.40 , $374.27 ,63.6%,Billboard,$17.26,7044,ATL,MIA,TRUE
SC Airlines,80.3%," $1,770.47 ", $547.83 ,73.6%,Television,$20.97,14171,BNA,SFO,FALSE
SC Airlines,75.0%," $1,684.16 ", $421.76 ,75.5%,Television,$20.99,14098,ATL,IAD,FALSE
SC Airlines,65.9%, $673.86 , $333.23 ,69.3%,None,$23.36,7828,MSP,DTW,TRUE
Columbia,65.7%," $1,226.82 ", $346.93 ,84.3%,Billboard,$0.00,7004,BOS,MIA,TRUE
Columbia,76.6%, $594.12 , $329.24 ,71.3%,Billboard,$0.00,7560,FLL,DFW,TRUE
SC Airlines,86.6%, $788.30 , $487.58 ,94.9%,Billboard,$16.27,6481,SEA,DXB,TRUE
SC Airlines,62.4%," $1,876.54 ", $781.89 ,88.4%,Television,$20.67,15919,MSP,CGK,FALSE
SC Airlines,68.2%," $2,121.49 ", $733.89 ,97.7%,Television,$21.44,13072,JFK,SYD,FALSE
Columbia,93.3%," $1,112.07 ", $367.74 ,83.5%,Billboard,$0.00,7837,ATL,LAS,TRUE
Columbia,93.0%, $451.45 , $287.82 ,72.4%,None,$0.00,6041,ATL,FLL,TRUE
Columbia,76.7%, $899.94 , $247.73 ,78.7%,Billboard,$0.00,6720,JFK,BWI,TRUE
Columbia,77.4%," $1,074.07 ", $282.52 ,72.5%,Billboard,$0.00,7469,ORD,MDW,TRUE
SC Airlines,75.4%, $901.79 , $547.26 ,87.6%,Billboard,$24.06,6066,LAS,PVG,TRUE
SC Airlines,68.1%, $698.83 , $471.73 ,75.1%,Billboard,$15.23,7668,ATL,IAD,TRUE
SC Airlines,62.1%," $1,183.24 ", $261.68 ,66.7%,Billboard,$20.61,6099,ORD,DTW,TRUE
Columbia,64.1%, $866.62 , $330.87 ,69.9%,Billboard,$0.00,6452,MIA,PHL,TRUE
Columbia,87.9%," $1,057.52 ", $300.72 ,84.5%,None,$0.00,7231,LAX,DEN,TRUE
SC Airlines,57.5%," $1,636.74 ", $843.36 ,92.4%,Television,$22.00,14746,DCA,MAD,FALSE
SC Airlines,68.4%, $600.13 , $287.68 ,62.6%,None,$23.45,6824,DFW,ATL,TRUE
SC Airlines,66.6%, $569.84 , $321.40 ,72.5%,None,$17.00,7419,DTW,ATL,TRUE
SC Airlines,68.5%, $682.30 , $422.36 ,72.7%,Billboard,$18.82,8000,DEN,DTW,TRUE
Columbia,83.2%, $682.46 , $372.42 ,76.4%,None,$0.00,7896,IAH,DTW,TRUE
Columbia,72.5%," $1,292.79 ", $316.09 ,88.7%,Billboard,$0.00,7961,LGA,ATL,TRUE
SC Airlines,74.4%," $2,124.03 ", $536.45 ,66.6%,Television,$17.86,12269,LAS,DFW,FALSE
Columbia,77.8%, $575.11 , $361.41 ,74.5%,Billboard,$0.00,7833,IAH,MCO,TRUE
Columbia,78.7%, $743.20 , $358.52 ,89.3%,None,$0.00,7300,LAX,LGA,TRUE
SC Airlines,54.8%, $662.00 , $348.96 ,69.8%,None,$23.54,7207,DEN,ORD,TRUE
Columbia,72.3%, $504.71 , $323.55 ,75.2%,None,$0.00,7581,MCO,ORD,TRUE
SC Airlines,66.3%, $704.80 , $459.27 ,71.8%,Billboard,$22.49,6270,LAS,MSP,TRUE
SC Airlines,74.4%," $1,313.69 ", $318.05 ,77.2%,Billboard,$18.89,7166,BOS,MSP,TRUE
Columbia,86.3%, $476.61 , $227.52 ,72.5%,None,$0.00,7760,SLC,MCO,TRUE
SC Airlines,59.6%, $740.32 , $403.93 ,72.8%,None,$15.69,7810,ATL,ATL,TRUE
SC Airlines,54.2%," $1,052.74 ", $363.37 ,66.6%,Billboard,$19.36,6613,MSP,DFW,TRUE
SC Airlines,57.0%, $938.24 , $386.86 ,69.9%,Billboard,$22.41,7329,SAN,MCO,TRUE
Columbia,88.9%, $536.05 , $301.00 ,69.2%,None,$0.00,7340,DFW,BNA,TRUE
Columbia,78.4%, $991.90 , $345.24 ,76.9%,Billboard,$0.00,7263,DEN,MSP,TRUE
Columbia,90.0%, $979.04 , $241.63 ,71.3%,None,$0.00,6781,MSP,MIA,TRUE
Columbia,65.2%," $1,199.02 ", $360.99 ,82.0%,Billboard,$0.00,6017,SEA,ATL,TRUE
SC Airlines,57.8%, $706.87 , $249.93 ,68.9%,None,$22.96,7964,MSP,MSP,TRUE
